Kellogg's Special K - Chocolatey Strawberry,6
Kellogg's Special K - Cinnamon Pecan,5.5
Kellogg's Special K - Low Fat Granola,3
Kellogg's Special K - Red Berries,7
Kellogg's Special K - Blueberry,3.5
Kellogg's Spider-Man (2001 version),7.5
Kellogg's 2012 Team USA,6
Kellogg's The Incredibles Cereal,6.5
Kellogg's Toasted Honey Crunch,6
Kellogg's Tony's Cinnamon Krunchers,7.5
Kellogg's Toy Story 3 Cereal,6
Kellogg's Trix - Fruitalicious Swirls,8
Kellogg's VROOMS,6
Kellogg's Wild Animal Crunch,2
Kirkland Ancient Organic Grains Granola with Almonds,9
Post C is for Cereal - A is for Apple,0
Post Cinnamon Shredded Wheat,6
Post Cocoa Pebbles,8
Post Cupcake Pebbles,2
Post Good Morenings - Strawberry and Creme,5
Post Grape Nuts,8
Post Great Grains,1
Post Great Grains,7
Post Great Grains - Blueberry Pomegranate,5
"Post Great Grains Protein Blend: Honey, Oats & Seeds",6
Post Honey Bunches of Oats with Cinnamon Clusters,4
Post Fruity Pebbles,8
Post Honey Bunches of Oats with Peaches,4
Post Honey Bunches of Oats - Fruit Blends - Peach Raspberry,6
Post Honey Nut Shredded Wheat Spoonsize,6
Post LiveActive Harvest Nut Crunch,6.5
Post Marshmallow Pebbles,8
Post Mini Cinnamon Churros,7
Post Oreo-O's,0
Post Pebbles - Summer Berry Flavor,4
Post Selects Organic Apple Cinnamon Harvest Cereal,6
Post Shredded Wheat'n Bran Spoonsize,5.25
Post The Smurfs Cereal,5
Quaker Cap'n Crunch Cinnamon Roll Crunch,4
Quaker Oats - Cap'n Crunch's Halloween Crunch (2013),8
Quaker Oats - Cap'n Crunch's Sprinkled Donut Crunch,8
Quaker Crunchy Corn Bran,4
Quaker Oats Life Cereal,5
Quaker Oats Life Chocolate Oat Crunch,5
Quaker Life Apple Cinnamon Crunchtime,7
Quaker Life Strawberry Crunchtime,2
Quaker Real Medleys - Cherry Almond Pecan Multigrain Cereal,8
Quaker Real Medleys - Peach Apple Walnut Multigrain Cereal,7
Quaker Oats Quisp,8.5
