price,speed,hd,ram,screen,cd,multi,premium,ads,trend,price
2095,33,250,4,15,no,no,yes,100,3,2095
4020,66,500,8,14,yes,no,yes,100,3,4020
2595,50,250,8,15,no,no,yes,100,3,2595
2695,33,340,16,14,no,no,yes,100,3,2695
2195,33,250,8,15,no,no,yes,100,3,2195
2995,66,340,16,14,no,no,yes,100,3,2995
2195,50,170,4,14,no,no,yes,100,3,2195
2399,33,212,8,14,no,no,yes,100,3,2399
2405,66,250,8,14,no,no,yes,100,3,2405
1795,66,85,2,14,no,no,yes,100,3,1795
2225,33,250,8,14,no,no,yes,100,3,2225
1995,33,250,4,14,no,no,yes,100,3,1995
2299,50,212,4,14,no,no,yes,100,3,2299
1795,33,170,4,15,no,no,yes,100,3,1795
2545,66,250,8,15,no,no,yes,100,3,2545
2595,66,245,8,14,no,no,yes,100,3,2595
1399,25,170,4,14,no,no,yes,100,3,1399
2475,50,250,8,14,no,no,yes,100,3,2475
2595,25,340,16,14,no,no,yes,100,3,2595
1695,50,85,2,14,no,no,yes,108,4,1695
3995,66,452,8,14,no,no,yes,108,4,3995
2999,66,240,4,15,no,no,yes,108,4,2999
2495,50,245,8,14,no,no,yes,108,4,2495
2455,66,250,8,14,no,no,yes,108,4,2455
2299,50,212,4,14,no,no,yes,108,4,2299
2690,25,340,16,14,no,no,yes,108,4,2690
2155,33,250,8,14,no,no,yes,108,4,2155
2890,33,340,16,14,no,no,yes,108,4,2890
1899,33,170,4,14,no,no,yes,108,4,1899
1595,25,170,4,14,no,no,yes,108,4,1595
1990,25,130,4,14,no,no,yes,108,4,1990
1895,25,130,4,14,no,no,yes,108,4,1895
1895,33,170,4,14,no,no,yes,108,4,1895
2799,50,245,16,15,no,no,yes,108,4,2799
2590,50,245,8,14,no,no,yes,108,4,2590
1499,25,170,4,14,no,no,yes,108,4,1499
2955,50,250,8,17,no,no,yes,108,4,2955
2285,50,250,8,14,no,no,yes,108,4,2285
2475,50,250,8,15,no,no,yes,108,4,2475
3795,33,452,8,14,no,no,yes,108,4,3795
1999,33,213,8,14,no,no,yes,108,4,1999
2599,50,212,8,14,no,no,yes,108,4,2599
2895,50,340,16,14,no,no,yes,108,4,2895
3895,50,452,8,14,no,no,yes,108,4,3895
2695,66,250,8,14,no,no,yes,108,4,2695
1995,50,170,4,14,no,no,yes,108,4,1995
2399,66,120,4,14,no,no,yes,108,4,2399
2605,33,250,8,17,no,no,yes,108,4,2605
2335,66,250,8,14,no,no,yes,108,4,2335
2195,66,170,4,14,no,no,yes,108,4,2195
2425,66,250,8,15,no,no,yes,108,4,2425
2995,66,340,16,14,no,no,yes,108,4,2995
2599,33,245,16,15,no,no,yes,108,4,2599
2390,33,245,8,14,no,no,yes,108,4,2390
1690,33,85,2,14,no,no,yes,108,4,1690
1495,33,85,2,14,no,no,yes,108,4,1495
2395,33,250,8,14,no,no,yes,108,4,2395
2099,33,212,4,14,no,no,yes,108,4,2099
3090,66,340,16,14,no,no,yes,108,4,3090
2599,33,240,4,15,no,no,yes,108,4,2599
1999,33,170,4,14,no,no,yes,108,4,1999
2195,50,130,4,14,no,no,yes,108,4,2195
2190,33,130,4,14,no,no,yes,108,4,2190
2025,50,170,4,14,no,no,yes,108,4,2025
1699,33,120,4,14,no,no,yes,108,4,1699
2790,33,340,16,14,no,no,yes,108,4,2790
1795,33,170,4,14,no,no,yes,108,4,1795
2990,50,340,16,14,no,no,yes,108,4,2990
2905,66,250,8,17,no,no,yes,108,4,2905
2825,33,250,8,17,no,no,yes,108,4,2825
2390,66,130,4,14,no,no,yes,108,4,2390
2699,66,213,8,14,no,no,yes,108,4,2699
2995,66,340,8,15,no,no,yes,108,4,2995
1590,33,85,2,14,no,no,yes,108,4,1590
2345,33,250,8,15,no,no,yes,108,4,2345
2199,50,213,8,14,no,no,yes,108,4,2199
2290,50,130,4,14,no,no,yes,108,4,2290
2595,50,250,8,15,no,no,yes,108,4,2595
2515,33,250,8,15,no,no,yes,108,4,2515
2145,50,170,4,14,no,no,yes,108,4,2145
2405,50,250,8,14,no,no,yes,108,4,2405
2525,50,250,8,14,no,no,yes,108,4,2525
2595,50,250,8,15,no,no,yes,108,4,2595
2090,33,130,4,14,no,no,yes,108,4,2090
2075,66,170,4,14,no,no,yes,108,4,2075
2799,50,240,4,15,no,no,yes,108,4,2799
3299,66,245,16,15,no,no,yes,108,4,3299
2645,66,250,8,15,no,no,yes,108,4,2645
3125,66,250,8,17,no,no,yes,108,4,3125
2295,33,245,8,14,no,no,yes,108,4,2295
1775,33,170,4,14,no,no,yes,108,4,1775
2095,33,130,4,14,no,no,yes,108,4,2095
2155,50,250,8,14,no,no,yes,108,4,2155
3075,50,250,8,17,no,no,yes,108,4,3075
2815,66,250,8,15,no,no,yes,108,4,2815
1599,25,170,4,14,no,no,yes,108,4,1599
2099,33,120,4,14,no,no,no,108,4,2099
2645,50,250,8,15,no,no,yes,108,4,2645
1795,66,85,2,14,no,no,yes,108,4,1795
2035,33,250,8,14,no,no,yes,108,4,2035
2490,33,245,8,14,no,no,yes,108,4,2490
3225,66,212,4,15,no,no,no,108,4,3225
2690,66,245,8,14,no,no,yes,108,4,2690
2195,25,245,8,14,no,no,yes,108,4,2195
1890,66,85,2,14,no,no,yes,108,4,1890
1995,33,130,4,14,no,no,yes,108,4,1995
2695,33,340,16,14,no,no,yes,108,4,2695
2595,25,340,16,14,no,no,yes,108,4,2595
1595,33,85,2,14,no,no,yes,108,4,1595
1490,25,85,2,14,no,no,yes,108,4,1490
2125,33,250,8,15,no,no,yes,108,4,2125
2399,66,213,8,14,no,no,yes,108,4,2399
2795,33,340,16,14,no,no,yes,108,4,2795
2290,25,245,8,14,no,no,yes,108,4,2290
2395,33,245,8,14,no,no,yes,108,4,2395
2399,33,212,8,14,no,no,yes,108,4,2399
1790,50,85,2,14,no,no,yes,108,4,1790
2099,66,120,4,14,no,no,yes,108,4,2099
1395,25,85,2,14,no,no,yes,108,4,1395
1895,50,170,4,14,no,no,yes,108,4,1895
2295,66,130,4,14,no,no,yes,108,4,2295
2595,66,245,8,14,no,no,yes,108,4,2595
1899,50,120,4,14,no,no,yes,108,4,1899
1399,25,170,4,14,no,no,yes,108,4,1399
2999,66,170,4,14,no,no,yes,108,4,2999
2999,66,245,16,15,no,no,yes,108,4,2999
2449,33,230,4,14,no,no,yes,108,4,2449
1795,33,170,4,14,no,no,yes,139,5,1795
1899,33,212,4,14,no,no,yes,139,5,1899
2395,33,340,8,14,no,no,yes,139,5,2395
2399,50,320,8,14,no,no,yes,139,5,2399
1595,33,170,4,14,no,no,yes,139,5,1595
2490,33,340,8,14,no,no,yes,139,5,2490
2995,66,452,16,14,no,no,yes,139,5,2995
2890,33,452,16,14,no,no,yes,139,5,2890
2190,33,214,4,15,no,no,yes,139,5,2190
2399,66,213,8,14,no,no,yes,139,5,2399
2285,50,250,8,14,no,no,yes,139,5,2285
2590,33,340,8,15,no,no,yes,139,5,2590
2795,33,452,16,14,no,no,yes,139,5,2795
1495,33,170,4,14,no,no,yes,139,5,1495
2075,66,170,4,14,no,no,yes,139,5,2075
2090,33,214,4,15,no,no,yes,139,5,2090
2195,33,250,8,15,no,no,yes,139,5,2195
3999,66,340,16,17,no,no,yes,139,5,3999
1699,33,120,4,14,no,no,yes,139,5,1699
1995,33,250,8,14,no,no,yes,139,5,1995
1690,33,107,2,14,no,no,yes,139,5,1690
3495,33,452,8,14,no,no,yes,139,5,3495
2195,66,170,4,14,no,no,yes,139,5,2195
3090,66,452,16,14,no,no,yes,139,5,3090
2690,25,452,16,14,no,no,yes,139,5,2690
1895,25,214,4,14,no,no,yes,139,5,1895
2495,50,250,8,15,no,no,yes,139,5,2495
2405,50,250,8,14,no,no,yes,139,5,2405
1595,33,107,2,14,no,no,yes,139,5,1595
2890,33,452,16,15,no,no,yes,139,5,2890
2390,25,340,8,14,no,no,yes,139,5,2390
1690,33,107,2,15,no,no,yes,139,5,1690
2295,25,340,8,14,no,no,yes,139,5,2295
2790,33,452,16,14,no,no,yes,139,5,2790
2695,33,452,16,14,no,no,yes,139,5,2695
2595,25,452,16,14,no,no,yes,139,5,2595
1995,33,214,4,14,no,no,yes,139,5,1995
2049,33,405,4,14,no,no,yes,139,5,2049
1399,25,170,4,14,no,no,yes,139,5,1399
2805,33,250,8,17,no,no,yes,139,5,2805
2019,33,120,4,14,no,no,no,139,5,2019
3055,50,250,8,17,no,no,yes,139,5,3055
2990,50,452,16,14,no,no,yes,139,5,2990
2605,33,250,8,17,no,no,yes,139,5,2605
2125,33,250,8,15,no,no,yes,139,5,2125
1490,25,107,2,14,no,no,yes,139,5,1490
1699,33,170,4,14,no,no,yes,139,5,1699
2495,33,340,8,14,no,no,yes,139,5,2495
2599,33,245,16,15,no,no,yes,139,5,2599
2220,33,250,8,14,yes,no,yes,139,5,2220
1590,33,107,2,15,no,no,yes,139,5,1590
1499,33,120,4,14,no,no,yes,139,5,1499
2625,66,250,8,15,no,no,yes,139,5,2625
1395,25,107,2,14,no,no,yes,139,5,1395
2395,33,250,8,14,no,no,yes,139,5,2395
2420,33,250,8,15,yes,no,yes,139,5,2420
2425,66,250,8,15,no,no,yes,139,5,2425
2515,33,250,8,15,no,no,yes,139,5,2515
2375,50,250,8,15,no,no,yes,139,5,2375
3105,66,250,8,17,no,no,yes,139,5,3105
2390,66,214,4,15,no,no,yes,139,5,2390
2905,66,250,8,17,no,no,yes,139,5,2905
2690,25,452,16,15,no,no,yes,139,5,2690
2695,66,250,8,14,no,no,yes,139,5,2695
1790,50,107,2,14,no,no,yes,139,5,1790
3495,66,500,8,14,no,no,yes,139,5,3495
2790,33,452,16,15,no,no,yes,139,5,2790
1790,50,107,2,15,no,no,yes,139,5,1790
1795,66,107,2,14,no,no,yes,139,5,1795
2995,66,340,8,15,yes,no,yes,139,5,2995
1995,50,170,4,14,no,no,yes,139,5,1995
2599,50,405,8,14,no,no,yes,139,5,2599
3720,66,500,8,14,yes,no,yes,139,5,3720
2155,33,250,8,14,no,no,yes,139,5,2155
1599,25,170,4,14,no,no,yes,139,5,1599
2525,50,250,8,14,no,no,yes,139,5,2525
2299,33,405,8,14,no,no,yes,139,5,2299
1895,33,170,4,14,no,no,yes,139,5,1895
1490,25,107,2,15,no,no,yes,139,5,1490
2035,33,250,8,14,no,no,yes,139,5,2035
1720,33,170,4,14,yes,no,yes,139,5,1720
2595,50,250,8,15,no,no,yes,139,5,2595
2290,50,214,4,15,no,no,yes,139,5,2290
2455,50,250,8,15,no,no,yes,139,5,2455
1695,50,107,2,14,no,no,yes,139,5,1695
2249,50,230,4,14,no,no,yes,139,5,2249
1999,50,212,4,14,no,no,yes,139,5,1999
2455,66,250,8,14,no,no,yes,139,5,2455
2595,50,340,8,14,no,no,yes,139,5,2595
2859,66,212,4,15,no,no,no,139,5,2859
2599,50,405,4,15,no,no,yes,139,5,2599
2855,50,250,8,17,no,no,yes,139,5,2855
2790,66,340,8,14,no,no,yes,139,5,2790
3990,66,1000,16,14,no,no,yes,139,5,3990
3595,50,452,8,14,no,no,yes,139,5,3595
2195,50,214,4,14,no,no,yes,139,5,2195
3599,66,405,8,14,no,no,yes,139,5,3599
2690,50,340,8,15,no,no,yes,139,5,2690
1999,33,213,8,14,no,no,yes,139,5,1999
2990,50,452,16,15,no,no,yes,139,5,2990
1890,66,107,2,14,no,no,yes,139,5,1890
2190,33,214,4,14,no,no,yes,139,5,2190
2720,50,250,8,15,yes,no,yes,139,5,2720
2145,50,170,4,14,no,no,yes,139,5,2145
2295,66,214,4,14,no,no,yes,139,5,2295
1990,25,214,4,15,no,no,yes,139,5,1990
2695,66,340,8,14,no,no,yes,139,5,2695
3149,66,230,8,14,no,no,yes,139,5,3149
1775,33,170,4,14,no,no,yes,139,5,1775
2490,33,340,8,15,no,no,yes,139,5,2490
3599,33,340,16,17,no,no,yes,139,5,3599
2690,50,340,8,14,no,no,yes,139,5,2690
3195,66,540,8,15,no,no,yes,139,5,3195
3695,66,452,8,14,no,no,yes,139,5,3695
2645,50,250,8,15,no,no,yes,139,5,2645
3090,66,452,16,15,no,no,yes,139,5,3090
1890,66,107,2,15,no,no,yes,139,5,1890
1999,33,170,4,14,no,no,yes,139,5,1999
2935,50,250,8,17,no,no,yes,139,5,2935
1990,25,214,4,14,no,no,yes,139,5,1990
2290,50,214,4,14,no,no,yes,139,5,2290
2390,66,214,4,14,no,no,yes,139,5,2390
2025,50,170,4,14,no,no,yes,139,5,2025
2095,33,214,4,14,no,no,yes,139,5,2095
2590,33,340,8,14,no,no,yes,139,5,2590
1499,25,170,4,14,no,no,yes,139,5,1499
2325,33,250,8,15,no,no,yes,139,5,2325
2099,66,120,4,14,no,no,yes,139,5,2099
2999,66,245,16,15,no,no,yes,139,5,2999
2790,66,340,8,15,no,no,yes,139,5,2790
1590,33,107,2,14,no,no,yes,139,5,1590
2499,50,170,4,14,no,no,yes,139,5,2499
2575,50,250,8,15,no,no,yes,139,5,2575
2390,25,340,8,15,no,no,yes,139,5,2390
1495,33,107,2,14,no,no,yes,139,5,1495
2895,50,452,16,14,no,no,yes,139,5,2895
2335,66,250,8,14,no,no,yes,139,5,2335
2090,33,214,4,14,no,no,yes,139,5,2090
2815,66,250,8,15,no,no,yes,139,5,2815
2195,50,250,4,14,no,no,yes,176,6,2195
1899,33,170,4,14,no,no,yes,176,6,1899
3599,66,450,8,14,no,no,yes,176,6,3599
2095,33,250,4,14,no,no,yes,176,6,2095
2690,33,452,16,15,no,no,yes,176,6,2690
2795,66,250,8,15,no,no,yes,176,6,2795
2799,33,240,4,14,no,no,no,176,6,2799
2698,66,245,8,14,yes,no,yes,176,6,2698
2390,33,340,8,14,no,no,yes,176,6,2390
2695,66,340,8,14,no,no,yes,176,6,2695
2095,33,214,4,14,no,no,yes,176,6,2095
2599,50,450,8,15,no,no,yes,176,6,2599
1825,50,170,4,14,no,no,yes,176,6,1825
1790,50,107,2,15,no,no,yes,176,6,1790
2720,66,340,8,14,yes,no,yes,176,6,2720
1295,25,107,2,14,no,no,yes,176,6,1295
2990,50,452,16,14,no,no,yes,176,6,2990
1890,66,107,2,15,no,no,yes,176,6,1890
2595,33,452,16,14,no,no,yes,176,6,2595
1490,33,107,2,14,no,no,yes,176,6,1490
2075,50,250,8,14,no,no,yes,176,6,2075
3699,33,345,16,17,no,no,yes,176,6,3699
2690,33,452,16,14,no,no,yes,176,6,2690
2245,66,250,4,15,no,no,yes,176,6,2245
3999,66,345,16,17,no,no,yes,176,6,3999
2195,50,214,4,14,no,no,yes,176,6,2195
2999,50,240,4,14,no,no,no,176,6,2999
1895,33,212,8,14,no,no,yes,176,6,1895
2295,50,212,8,15,no,no,yes,176,6,2295
2190,33,214,4,14,no,no,yes,176,6,2190
1690,33,107,2,14,no,no,yes,176,6,1690
