38,Kellogg's Special K - Low Fat Granola,3
39,Kellogg's Special K - Red Berries,7
40,Kellogg's Special K - Blueberry,3.5
200,Kellogg's Spider-Man (2001 version),7.5
200,Kellogg's 2012 Team USA,6
200,Kellogg's The Incredibles Cereal,6.5
200,Kellogg's Toasted Honey Crunch,6
200,Kellogg's Tony's Cinnamon Krunchers,7.5
200,Kellogg's Toy Story 3 Cereal,6
200,Kellogg's Trix - Fruitalicious Swirls,8
200,Kellogg's VROOMS,6
200,Kellogg's Wild Animal Crunch,2
200,Kirkland Ancient Organic Grains Granola with Almonds,9
200,Post C is for Cereal - A is for Apple,0
200,Post Cinnamon Shredded Wheat,6
41,Post Cocoa Pebbles,8
200,Post Cupcake Pebbles,2
200,Post Good Morenings - Strawberry and Creme,5
42,Post Grape Nuts,8
43,Post Great Grains,4
200,Post Great Grains - Blueberry Pomegranate,5
200,"Post Great Grains Protein Blend: Honey, Oats & Seeds",6
200,Post Honey Bunches of Oats with Cinnamon Clusters,4
44,Post Fruity Pebbles,8
200,Post Honey Bunches of Oats with Peaches,4
200,Post Honey Bunches of Oats - Fruit Blends - Peach Raspberry,6
45,Post Honey Nut Shredded Wheat Spoonsize,6
200,Post LiveActive Harvest Nut Crunch,6.5
200,Post Marshmallow Pebbles,8
200,Post Mini Cinnamon Churros,7
200,Post Oreo-O's,0
200,Post Pebbles - Summer Berry Flavor,4
200,Post Selects Organic Apple Cinnamon Harvest Cereal,6
200,Post Shredded Wheat'n Bran Spoonsize,5.25
200,Post The Smurfs Cereal,5
200,Quaker Cap'n Crunch Cinnamon Roll Crunch,4
46,Quaker Oats - Cap'n Crunch's Halloween Crunch (2013),8
200,Quaker Oats - Cap'n Crunch's Sprinkled Donut Crunch,8
47,Quaker Crunchy Corn Bran,4
48,Quaker Oats Life Cereal,5
200,Quaker Oats Life Chocolate Oat Crunch,5
200,Quaker Life Apple Cinnamon Crunchtime,7
200,Quaker Life Strawberry Crunchtime,2
200,Quaker Real Medleys - Cherry Almond Pecan Multigrain Cereal,8
200,Quaker Real Medleys - Peach Apple Walnut Multigrain Cereal,7
49,Quaker Oats Quisp,8.5
